id_nspn,date_homework,event,apq_01_good_job,apq_02_threaten_punish,apq_03_fails_note,apq_04_games,apq_05_talk_out_punish,apq_06_ask_school,apq_07_stays_out,apq_08_homework,apq_09_compliment,apq_10_praise,apq_11_out_friends,apq_12_punish_early,apq_13_spank,apq_14_slap,apq_15_hit,apq_positive,apq_inconsistent,apq_poorsup,apq_involve,apq_punish,apq_alabama_parentin_v_14
10091,24/11/2012,Home Questionnaire Pack 1,,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Often,Often,Sometimes,Almost never,Never,Almost never,Never,,6,5,11,4,Complete
10091,09/12/2013,Home Questionnaire Pack 2,Often,Almost never,Never,Sometimes,Almost never,Always,Sometimes,Almost never,Often,Often,Almost never,Sometimes,Almost never,Almost never,Never,12,7,6,10,5,Complete
10091,12/06/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10116,26/11/2012,Home Questionnaire Pack 1,Often,Almost never,Never,Often,Almost never,Often,Almost never,Often,Often,Often,Almost never,Almost never,Never,Never,Never,12,6,5,12,3,Complete
10116,15/12/2013,Home Questionnaire Pack 2,Often,Sometimes,Never,Often,Almost never,Often,Never,Almost never,Always,Sometimes,Almost never,Almost never,Never,Never,Never,12,7,4,10,3,Complete
10116,02/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10124,06/12/2012,Home Questionnaire Pack 1,Often,Never,Never,Always,Never,Always,Never,Often,Always,Always,Never,Never,Never,Never,Never,14,3,3,14,3,Complete
10132,03/12/2012,Home Questionnaire Pack 1,Often,Almost never,Sometimes,Sometimes,Almost never,Always,Almost never,Sometimes,Always,Often,Almost never,Sometimes,Sometimes,Never,Never,13,7,7,11,5,Complete
10132,14/12/2013,Home Questionnaire Pack 2,.a,.a,Often,.a,Sometimes,Sometimes,Never,Often,Almost never,Often,Always,Sometimes,Sometimes,Sometimes,Often,,,10,,10,Complete
10140,27/11/2012,Home Questionnaire Pack 1,Always,Never,Never,Always,Never,Always,Never,Always,Almost never,Almost never,Never,Never,Never,Never,Never,9,3,3,15,3,Complete
10140,14/12/2013,Home Questionnaire Pack 2,Always,Never,Never,Often,Never,Always,Never,Always,Always,Always,Never,Never,Never,Never,Never,15,3,3,14,3,Complete
10140,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10158,24/11/2012,Home Questionnaire Pack 1,Almost never,Often,Sometimes,Never,Often,Almost never,Often,Never,Often,Almost never,Never,Often,Never,Never,Never,8,12,8,4,3,Complete
10158,24/08/2014,Home Questionnaire Pack 2,Often,Sometimes,Sometimes,Almost never,Never,Never,Never,Never,Often,Often,Never,Often,Never,Never,Never,12,8,5,4,3,Complete
10158,13/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10174,30/11/2012,Home Questionnaire Pack 1,Often,Never,Never,Never,Never,Always,Never,Almost never,Always,Always,Never,Often,Never,Never,Never,14,6,3,8,3,Complete
10174,29/07/2015,Home Questionnaire Pack 2,Sometimes,Never,Never,Almost never,Never,Often,Never,Almost never,Often,Sometimes,Almost never,Never,Never,Never,Never,10,3,4,8,3,Complete
10182,01/12/2012,Home Questionnaire Pack 1,Always,Almost never,Sometimes,Always,Almost never,Always,Sometimes,Often,Always,Always,Sometimes,Never,Never,Never,Never,15,5,9,14,3,Complete
10182,04/01/2014,Home Questionnaire Pack 2,Always,Never,Sometimes,Often,Never,Always,Sometimes,Sometimes,Always,Often,Sometimes,Never,Never,Never,Never,14,3,9,12,3,Complete
10182,29/10/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10190,24/11/2012,Home Questionnaire Pack 1,Often,Never,Almost never,Often,Never,Often,Never,Often,Often,Often,Never,Almost never,Never,Never,Never,12,4,4,12,3,Complete
10190,11/12/2013,Home Questionnaire Pack 2,Often,Never,Never,Often,Never,Often,Almost never,.a,Often,.a,Never,Never,Never,Never,Never,,3,4,,3,Complete
10190,17/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10207,02/12/2012,Home Questionnaire Pack 1,Sometimes,Almost never,Almost never,Sometimes,Almost never,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Never,Never,9,7,8,10,3,Complete
10207,01/02/2014,Home Questionnaire Pack 2,Sometimes,Almost never,Almost never,Often,Never,Always,Almost never,Often,Often,Often,Never,Never,Never,Never,Never,11,4,5,13,3,Complete
10207,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10215,08/01/2013,Home Questionnaire Pack 1,Sometimes,Never,Always,Sometimes,Never,Often,Always,Almost never,Sometimes,Often,Often,Never,Never,Never,Never,10,3,14,9,3,Complete
10215,06/08/2014,Home Questionnaire Pack 2,Almost never,Almost never,Always,Sometimes,Almost never,Sometimes,Often,Almost never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,8,5,12,8,3,Complete
10215,25/08/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10223,04/12/2012,Home Questionnaire Pack 1,Sometimes,Never,Never,Often,Never,Often,Never,Almost never,Sometimes,Almost never,Almost never,Never,Sometimes,Never,Never,8,3,4,10,5,Complete
10223,29/11/2014,Home Questionnaire Pack 2,Sometimes,Almost never,Never,Often,Almost never,Often,Never,Almost never,Sometimes,Almost never,Almost never,Never,Sometimes,Never,Sometimes,8,5,4,10,7,Complete
10249,06/12/2012,Home Questionnaire Pack 1,Always,Never,Never,Often,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,15,5,3,12,3,Complete
10249,13/01/2014,Home Questionnaire Pack 2,Always,Never,Never,Often,Never,Always,Almost never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,15,5,4,12,3,Complete
10249,13/08/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10265,25/01/2013,Home Questionnaire Pack 1,Often,Almost never,Never,Sometimes,Never,Often,Sometimes,Sometimes,Always,Never,Never,Never,Never,Never,Never,10,4,5,10,3,Complete
10265,30/07/2014,Home Questionnaire Pack 2,Sometimes,Almost never,Almost never,Sometimes,Never,Sometimes,Sometimes,Never,Often,Never,Almost never,Almost never,Never,Never,Never,8,5,7,7,3,Complete
10281,28/12/2012,Home Questionnaire Pack 1,Almost never,Often,Often,Almost never,Almost never,Never,Sometimes,Never,Never,Never,Often,Sometimes,Never,Never,Never,4,9,11,4,3,Complete
10281,21/08/2014,Home Questionnaire Pack 2,Often,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,10,3,9,9,3,Complete
10299,13/12/2012,Home Questionnaire Pack 1,Almost never,Almost never,Sometimes,Sometimes,Often,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Never,Almost never,Never,6,11,11,7,4,Complete
10299,09/12/2013,Home Questionnaire Pack 2,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,Often,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Never,Never,Never,9,8,9,9,3,Complete
10299,14/06/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10306,03/01/2013,Home Questionnaire Pack 1,Sometimes,Often,Often,Never,Never,Sometimes,Often,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,9,6,11,5,3,Complete
10306,09/12/2013,Home Questionnaire Pack 2,Often,Sometimes,Often,Sometimes,Always,Sometimes,Often,Never,Often,Often,Sometimes,Sometimes,Never,Never,Never,12,11,11,7,3,Complete
10306,16/12/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10314,01/02/2013,Home Questionnaire Pack 1,Sometimes,Never,Never,Almost never,Often,Sometimes,Almost never,Never,Sometimes,Almost never,Often,Often,Never,Never,Never,8,9,7,6,3,Complete
10314,11/02/2014,Home Questionnaire Pack 2,Often,Never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,10,7,9,8,3,Complete
10314,03/10/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10330,10/01/2013,Home Questionnaire Pack 1,Often,Never,Often,Never,Always,Almost never,Never,Never,Always,Always,Never,Always,Never,Never,Never,14,11,6,4,3,Complete
10356,22/02/2013,Home Questionnaire Pack 1,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Never,Sometimes,Almost never,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Never,7,9,5,8,7,Complete
10356,08/07/2014,Home Questionnaire Pack 2,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,6,9,9,8,6,Complete
10356,18/07/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10364,19/12/2012,Home Questionnaire Pack 1,Often,Almost never,Never,Sometimes,Sometimes,Often,Almost never,Never,Always,Often,Almost never,Always,Never,Never,Never,13,10,5,8,3,Complete
10364,10/12/2013,Home Questionnaire Pack 2,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Always,Often,Never,Never,Never,Never,15,3,10,9,3,Complete
10364,28/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10447,19/12/2012,Home Questionnaire Pack 1,Sometimes,Sometimes,Often,Almost never,Almost never,Sometimes,Almost never,Never,Almost never,Almost never,Almost never,Sometimes,Never,Never,Never,7,8,8,6,3,Complete
10447,10/12/2013,Home Questionnaire Pack 2,Often,Never,Almost never,Sometimes,Almost never,Often,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,10,4,6,8,3,Complete
10447,02/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10455,03/02/2013,Home Questionnaire Pack 1,Sometimes,Sometimes,Almost never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Often,Almost never,Never,Sometimes,Never,9,8,9,5,5,Complete
10455,13/01/2014,Home Questionnaire Pack 2,Sometimes,Sometimes,Almost never,Never,Never,Sometimes,Never,Never,Almost never,Sometimes,Often,Almost never,Never,Sometimes,Never,8,6,7,5,5,Complete
10455,10/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10471,11/02/2013,Home Questionnaire Pack 1,Almost never,Often,Almost never,Sometimes,Sometimes,Often,Sometimes,Almost never,Almost never,Almost never,Sometimes,Sometimes,Often,Often,Almost never,6,10,8,9,10,Complete
10489,09/02/2013,Home Questionnaire Pack 1,Almost never,Never,Never,Sometimes,Never,Never,Never,Never,Almost never,Almost never,Almost never,Never,Almost never,Almost never,Never,6,3,4,5,5,Complete
10489,15/01/2014,Home Questionnaire Pack 2,Never,Never,Never,Almost never,Never,Never,Sometimes,Never,Almost never,Never,Almost never,Never,Never,Almost never,Never,4,3,6,4,4,Complete
10489,31/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10520,15/12/2012,Home Questionnaire Pack 1,Always,Often,Almost never,Sometimes,Never,Always,Sometimes,Always,Always,Always,Almost never,Often,Never,Never,Never,15,9,7,13,3,Complete
10520,22/06/2015,Home Questionnaire Pack 2,Often,Never,Never,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Never,10,8,4,9,3,Complete
10520,24/05/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10570,18/12/2012,Home Questionnaire Pack 1,Often,Almost never,Never,Sometimes,Almost never,Sometimes,Never,Almost never,Often,Often,Sometimes,.a,Never,Never,Never,12,,5,8,3,Complete
10570,18/01/2014,Home Questionnaire Pack 2,Sometimes,Never,Never,Almost never,Never,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,9,5,6,7,3,Complete
10629,04/01/2013,Home Questionnaire Pack 1,Often,Always,Never,Sometimes,Always,Always,Almost never,Sometimes,Sometimes,Sometimes,Often,Always,Never,Never,Never,10,15,7,11,3,Complete
10629,14/12/2013,Home Questionnaire Pack 2,Often,Sometimes,Never,Almost never,Often,Always,Almost never,Almost never,Often,Almost never,Sometimes,Often,Never,Never,Never,10,11,6,9,3,Complete
10629,08/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10637,27/12/2012,Home Questionnaire Pack 1,Almost never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,4,9,5,3,3,Complete
10645,13/01/2013,Home Questionnaire Pack 1,Sometimes,Never,Never,Sometimes,Never,Often,Never,Almost never,Sometimes,Sometimes,Always,Never,Never,Never,Never,9,3,7,9,3,Complete
10645,01/08/2014,Home Questionnaire Pack 2,Often,Never,Always,Always,Never,Sometimes,Almost never,Sometimes,Always,Always,Often,Always,Never,Never,Never,14,7,11,11,3,Complete
10679,18/12/2012,Home Questionnaire Pack 1,Always,Never,Never,Almost never,Sometimes,Always,Almost never,Often,Always,Always,Never,Sometimes,Never,Never,Never,15,7,4,11,3,Complete
10679,14/01/2014,Home Questionnaire Pack 2,Always,Never,Never,Always,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,15,5,3,13,3,Complete
10679,27/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10695,22/12/2012,Home Questionnaire Pack 1,Almost never,Often,Never,Sometimes,Sometimes,Often,Never,Almost never,Sometimes,Never,Never,Sometimes,Never,Never,Never,6,10,3,9,3,Complete
10695,23/12/2014,Home Questionnaire Pack 2,Sometimes,Often,Often,Often,Sometimes,Often,Almost never,Almost never,Often,Often,Never,Sometimes,Never,Never,Never,11,10,7,10,3,Complete
10695,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10702,15/01/2013,Home Questionnaire Pack 1,Often,Sometimes,Sometimes,Often,Almost never,Often,Never,Almost never,Often,Sometimes,Sometimes,Never,Never,Never,Never,11,6,7,10,3,Complete
10702,28/01/2014,Home Questionnaire Pack 2,Often,Almost never,Almost never,Sometimes,Never,Often,Almost never,Almost never,Often,Often,Often,Almost never,Never,Never,Never,12,5,8,9,3,Complete
10702,20/06/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10710,10/01/2013,Home Questionnaire Pack 1,Sometimes,Never,Almost never,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,9,5,6,9,3,Complete
10710,16/12/2013,Home Questionnaire Pack 2,Often,Never,Almost never,Sometimes,Never,Always,Never,Sometimes,Often,Sometimes,Almost never,Never,Never,Never,Never,11,3,5,11,3,Complete
10710,24/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10728,13/01/2013,Home Questionnaire Pack 1,Often,Never,Never,Almost never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,9,3,3,4,3,Complete
10728,23/12/2013,Home Questionnaire Pack 2,Sometimes,Never,Almost never,Almost never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Never,Never,Never,9,4,7,8,3,Complete
10728,06/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10736,10/01/2013,Home Questionnaire Pack 1,Often,Almost never,Never,Often,Almost never,Often,Never,Sometimes,Often,Never,Almost never,Almost never,Never,Never,Never,9,6,4,11,3,Complete
10736,21/12/2013,Home Questionnaire Pack 2,Sometimes,Never,Never,Sometimes,Never,Often,Never,Often,Often,Sometimes,Sometimes,Never,Never,Never,Never,10,3,5,11,3,Complete
10736,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10744,11/01/2013,Home Questionnaire Pack 1,Always,Never,Never,Often,Almost never,Often,Never,Always,Often,Often,Almost never,Almost never,Never,Never,Never,13,5,4,13,3,Complete
10744,15/01/2014,Home Questionnaire Pack 2,Often,Sometimes,Almost never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Often,Never,Never,Never,8,8,4,7,3,Complete
10744,24/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10752,10/01/2013,Home Questionnaire Pack 1,Often,Never,Almost never,Often,Never,Often,Sometimes,Sometimes,Always,Always,Almost never,Often,Never,Never,Never,14,6,7,11,3,Complete
10778,14/01/2013,Home Questionnaire Pack 1,Often,Almost never,Almost never,Often,Never,Often,Almost never,Never,Always,Often,Almost never,Never,Never,Never,Never,13,4,6,9,3,Complete
10786,07/02/2013,Home Questionnaire Pack 1,Often,Never,Almost never,Often,Never,Always,Often,Often,Always,Often,Almost never,Never,Never,Never,Never,13,3,8,13,3,Complete
10786,03/03/2014,Home Questionnaire Pack 2,Often,Never,Almost never,Sometimes,Almost never,Always,Sometimes,Sometimes,Often,Sometimes,Almost never,Almost never,Almost never,Never,Never,11,5,7,11,4,Complete
10786,19/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10794,26/01/2013,Home Questionnaire Pack 1,Almost never,Often,Almost never,Never,Often,Almost never,Almost never,Never,Almost never,Never,Sometimes,Almost never,Often,Sometimes,Never,5,10,7,4,8,Complete
10794,01/02/2015,Home Questionnaire Pack 2,Almost never,Sometimes,Sometimes,Never,Almost never,Often,Almost never,Never,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Never,7,7,8,6,7,Complete
10801,14/01/2013,Home Questionnaire Pack 1,Often,Never,Almost never,Often,Never,Always,Almost never,Sometimes,Often,Often,Never,Never,Never,Never,Never,12,3,5,12,3,Complete
10801,12/02/2014,Home Questionnaire Pack 2,Often,Almost never,Almost never,Often,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,Never,Never,14,4,4,12,3,Complete
10801,25/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10819,10/01/2013,Home Questionnaire Pack 1,Never,Always,Never,Never,Sometimes,Never,Never,Never,Almost never,Almost never,Never,Always,Never,Never,Never,5,13,3,3,3,Complete
10819,07/01/2014,Home Questionnaire Pack 2,Sometimes,Sometimes,Never,Never,Sometimes,Almost never,Never,Never,Often,Sometimes,Never,Often,Never,Never,Never,10,10,3,4,3,Complete
10819,20/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10827,13/01/2013,Home Questionnaire Pack 1,Often,Sometimes,Never,Sometimes,Almost never,Sometimes,Never,Sometimes,Always,Always,Never,Often,Never,Never,Never,14,9,3,9,3,Complete
10827,05/01/2014,Home Questionnaire Pack 2,Often,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Never,Often,Never,Never,Never,14,6,3,9,3,Complete
10827,15/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10835,10/01/2013,Home Questionnaire Pack 1,Often,Never,Never,Often,Never,Never,Never,Sometimes,Always,Always,Never,Sometimes,Almost never,Almost never,Never,14,5,3,8,5,Complete
10835,18/03/2015,Home Questionnaire Pack 2,Often,Never,Never,Sometimes,Never,Never,Never,Never,Often,Often,Often,Never,Never,Never,Never,12,3,6,5,3,Complete
10835,14/03/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10843,13/01/2013,Home Questionnaire Pack 1,Always,Never,Almost never,Sometimes,Never,Often,Almost never,Often,Often,Often,Sometimes,Never,Never,Never,Never,13,3,7,11,3,Complete
10843,12/12/2013,Home Questionnaire Pack 2,Often,Never,Almost never,Sometimes,Never,Often,Never,Sometimes,Often,Often,Sometimes,Never,Never,Never,Never,12,3,6,10,3,Complete
10843,03/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10851,29/01/2014,Home Questionnaire Pack 1,Sometimes,Never,Sometimes,Almost never,Never,Sometimes,Never,Sometimes,Often,Often,Sometimes,Often,Never,Never,Never,11,6,7,8,3,Complete
10851,08/02/2015,Home Questionnaire Pack 2,Sometimes,Never,Often,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,9,3,10,5,5,Complete
10851,29/01/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10869,21/01/2013,Home Questionnaire Pack 1,Always,Never,Never,Often,Never,Often,Never,Sometimes,Always,Sometimes,Often,Never,Never,Never,Never,13,3,6,11,3,Complete
10869,02/01/2014,Home Questionnaire Pack 2,Sometimes,Never,Never,Often,Sometimes,Sometimes,Never,Never,Sometimes,Often,.a,Almost never,Never,Never,Never,10,6,,8,3,Complete
10869,01/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10877,14/01/2013,Home Questionnaire Pack 1,Sometimes,Sometimes,Never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Never,Never,Never,9,9,6,7,3,Complete
10877,20/12/2013,Home Questionnaire Pack 2,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Often,Often,Almost never,Never,Never,12,11,12,9,4,Complete
10877,24/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10893,14/01/2013,Home Questionnaire Pack 1,Always,Sometimes,Never,Often,Sometimes,Always,Never,Never,Always,Often,Never,Sometimes,Never,Never,Never,14,9,3,10,3,Complete
10893,20/01/2014,Home Questionnaire Pack 2,Often,Almost never,Never,Sometimes,Often,Always,Never,Almost never,Always,Often,Sometimes,Sometimes,Never,Never,Never,13,9,5,10,3,Complete
10893,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10900,03/08/2013,Home Questionnaire Pack 1,Often,Never,Almost never,Often,Often,Always,Sometimes,Never,Always,Always,Almost never,Never,Never,Never,Never,14,6,7,10,3,Complete
10900,07/01/2015,Home Questionnaire Pack 2,Always,Never,Never,Often,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,Never,Never,15,3,3,12,3,Complete
10900,27/12/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10918,21/01/2013,Home Questionnaire Pack 1,Often,Never,Often,Sometimes,Never,Always,Often,Sometimes,Often,Often,Never,Sometimes,Never,Never,Never,12,5,9,11,3,Complete
10918,28/01/2014,Home Questionnaire Pack 2,Often,Never,Sometimes,Often,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Never,Never,Never,Never,14,5,7,12,3,Complete
10918,26/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10967,04/02/2013,Home Questionnaire Pack 1,Often,Almost never,Never,Almost never,Never,Sometimes,Almost never,Often,Often,Sometimes,Almost never,Never,Almost never,Never,Never,11,4,5,9,4,Complete
10967,14/08/2014,Home Questionnaire Pack 2,Sometimes,Never,Almost never,Sometimes,Almost never,Often,Sometimes,Often,Often,Almost never,Almost never,Almost never,Almost never,Never,Never,9,5,7,11,4,Complete
10967,17/08/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10975,04/02/2013,Home Questionnaire Pack 1,Sometimes,Never,Never,Never,Never,Sometimes,Often,Never,Sometimes,Never,Always,Often,Never,Never,Never,7,6,10,5,3,Complete
10975,25/01/2014,Home Questionnaire Pack 2,Often,Never,Never,Never,Never,Never,Sometimes,Never,Often,Never,Sometimes,Never,Never,Never,Never,9,3,7,3,3,Complete
10975,20/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10983,15/02/2013,Home Questionnaire Pack 1,Always,Never,Never,Sometimes,Almost never,Always,Almost never,Often,Always,Always,Never,Never,Never,Never,Never,15,4,4,12,3,Complete
10983,21/12/2014,Home Questionnaire Pack 2,Always,Never,Never,Sometimes,Never,Always,Never,Always,Almost never,Always,Never,Never,Never,Never,Never,12,3,3,13,3,Complete
